school_id,ncessch,school_name,entry_grade,projection_year,projection_type,grade,projected_enrollment,generated_at,survival_rate_min,survival_rate_median,survival_rate_max,entry_grade_low,entry_grade_high,entry_grade_median
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 8,7,2025-06-13T16:45:29.516223,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Kindergarten,14,2025-06-13T16:45:29.516225,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 1,10,2025-06-13T16:45:29.516228,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 2,11,2025-06-13T16:45:29.516230,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 3,12,2025-06-13T16:45:29.516233,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 4,13,2025-06-13T16:45:29.516235,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 5,9,2025-06-13T16:45:29.516238,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 6,13,2025-06-13T16:45:29.516240,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 7,13,2025-06-13T16:45:29.516243,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,outer_min,Grade 8,7,2025-06-13T16:45:29.516245,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,outer_min,Kindergarten,14,2025-06-13T16:45:29.516248,0.9655172413793104,1.0,1.0344827586206897,14,15,14
